marmoset,rhesus,gorilla,chimp,human
MFSD6,MFSD6,MFSD6,MFSD6,MFSD6
MFSD8,MFSD8,MFSD8,MFSD8,MFSD8
MFSD9,MFSD9,MFSD9,MFSD9,MFSD9
MGA,MGA,MGA,MGA,MGA
MGARP,MGARP,MGARP,MGARP,MGARP
MGAT1,MGAT1,MGAT1,MGAT1,MGAT1
MGAT2,MGAT2,MGAT2,MGAT2,MGAT2
MGAT3,MGAT3,MGAT3,MGAT3,MGAT3
MGAT4A,MGAT4A,MGAT4A,MGAT4A,MGAT4A
MGAT4B,MGAT4B,MGAT4B,MGAT4B,MGAT4B
MGAT4C,MGAT4C,MGAT4C,MGAT4C,MGAT4C
MGAT4D,MGAT4D,MGAT4D,MGAT4D,MGAT4D
MGAT5,MGAT5,MGAT5,MGAT5,MGAT5
MGAT5B,MGAT5B,MGAT5B,MGAT5B,MGAT5B
MGLL,MGLL,MGLL,MGLL,MGLL
MGME1,MGME1,MGME1,MGME1,MGME1
MGMT,MGMT,MGMT,MGMT,MGMT
MGP,MGP,MGP,MGP,MGP
MGST1,MGST1,MGST1,MGST1,MGST1
MGST2,MGST2,MGST2,MGST2,MGST2
MGST3,MGST3,MGST3,MGST3,MGST3
MIA,MIA,MIA,MIA,MIA
MIA3,MIA3,MIA3,MIA3,MIA3
MIB1,MIB1,MIB1,MIB1,MIB1
MIB2,MIB2,MIB2,MIB2,MIB2
MICAL1,MICAL1,MICAL1,MICAL1,MICAL1
MICAL3,MICAL3,MICAL3,MICAL3,MICAL3
MICALL1,MICALL1,MICALL1,MICALL1,MICALL1
MICALL2,MICALL2,MICALL2,MICALL2,MICALL2
MICU1,MICU1,MICU1,MICU1,MICU1
MICU2,MICU2,MICU2,MICU2,MICU2
MICU3,MICU3,MICU3,MICU3,MICU3
MID1,MID1,MID1,MID1,MID1
MID1IP1,MID1IP1,MID1IP1,MID1IP1,MID1IP1
MID2,MID2,MID2,MID2,MID2
MIDN,MIDN,MIDN,MIDN,MIDN
MIEF1,MIEF1,MIEF1,MIEF1,MIEF1
MIEN1,MIEN1,MIEN1,MIEN1,MIEN1
MIER1,MIER1,MIER1,MIER1,MIER1
MIER2,MIER2,MIER2,MIER2,MIER2
MIER3,MIER3,MIER3,MIER3,MIER3
MIF,MIF,MIF,MIF,MIF
MIF4GD,MIF4GD,MIF4GD,MIF4GD,MIF4GD
MIIP,MIIP,MIIP,MIIP,MIIP
MILR1,MILR1,MILR1,MILR1,MILR1
MINK1,MINK1,MINK1,MINK1,MINK1
MINPP1,MINPP1,MINPP1,MINPP1,MINPP1
MIOS,MIOS,MIOS,MIOS,MIOS
MIOX,MIOX,MIOX,MIOX,MIOX
MIP,MIP,MIP,MIP,MIP
MIPEP,MIPEP,MIPEP,MIPEP,MIPEP
MIPOL1,MIPOL1,MIPOL1,MIPOL1,MIPOL1
MIS12,MIS12,MIS12,MIS12,MIS12
MIS18A,MIS18A,MIS18A,MIS18A,MIS18A
MIS18BP1,MIS18BP1,MIS18BP1,MIS18BP1,MIS18BP1
MISP,MISP,MISP,MISP,MISP
MITD1,MITD1,MITD1,MITD1,MITD1
MITF,MITF,MITF,MITF,MITF
MIXL1,MIXL1,MIXL1,MIXL1,MIXL1
MKI67,MKI67,MKI67,MKI67,MKI67
MKKS,MKKS,MKKS,MKKS,MKKS
MKLN1,MKLN1,MKLN1,MKLN1,MKLN1
MKNK1,MKNK1,MKNK1,MKNK1,MKNK1
MKNK2,MKNK2,MKNK2,MKNK2,MKNK2
MKRN1,MKRN1,MKRN1,MKRN1,MKRN1
MKRN2,MKRN2,MKRN2,MKRN2,MKRN2
MKRN2OS,MKRN2OS,MKRN2OS,MKRN2OS,MKRN2OS
MKRN3,MKRN3,MKRN3,MKRN3,MKRN3
MKS1,MKS1,MKS1,MKS1,MKS1
MKX,MKX,MKX,MKX,MKX
MLANA,MLANA,MLANA,MLANA,MLANA
MLC1,MLC1,MLC1,MLC1,MLC1
MLEC,MLEC,MLEC,MLEC,MLEC
MLF1,MLF1,MLF1,MLF1,MLF1
MLF2,MLF2,MLF2,MLF2,MLF2
MLH1,MLH1,MLH1,MLH1,MLH1
MLH3,MLH3,MLH3,MLH3,MLH3
MLIP,MLIP,MLIP,MLIP,MLIP
MLLT1,MLLT1,MLLT1,MLLT1,MLLT1
MLLT11,MLLT11,MLLT11,MLLT11,MLLT11
MLLT3,MLLT3,MLLT3,MLLT3,MLLT3
MLLT6,MLLT6,MLLT6,MLLT6,MLLT6
MLPH,MLPH,MLPH,MLPH,MLPH
MLX,MLX,MLX,MLX,MLX
MLXIP,MLXIP,MLXIP,MLXIP,MLXIP
MLXIPL,MLXIPL,MLXIPL,MLXIPL,MLXIPL
MMAA,MMAA,MMAA,MMAA,MMAA
MMAB,MMAB,MMAB,MMAB,MMAB
MMACHC,MMACHC,MMACHC,MMACHC,MMACHC
MMADHC,MMADHC,MMADHC,MMADHC,MMADHC
MMD,MMD,MMD,MMD,MMD
MMD2,MMD2,MMD2,MMD2,MMD2
MME,MME,MME,MME,MME
MMEL1,MMEL1,MMEL1,MMEL1,MMEL1
MMGT1,MMGT1,MMGT1,MMGT1,MMGT1
MMP1,MMP1,MMP1,MMP1,MMP1
MMP11,MMP11,MMP11,MMP11,MMP11
MMP12,MMP12,MMP12,MMP12,MMP12
MMP13,MMP13,MMP13,MMP13,MMP13
MMP14,MMP14,MMP14,MMP14,MMP14
MMP16,MMP16,MMP16,MMP16,MMP16
MMP17,MMP17,MMP17,MMP17,MMP17
MMP19,MMP19,MMP19,MMP19,MMP19
MMP20,MMP20,MMP20,MMP20,MMP20
MMP21,MMP21,MMP21,MMP21,MMP21
MMP23B,MMP23B,MMP23B,MMP23B,MMP23B
MMP24,MMP24,MMP24,MMP24,MMP24
MMP27,MMP27,MMP27,MMP27,MMP27
MMP28,MMP28,MMP28,MMP28,MMP28
MMP7,MMP7,MMP7,MMP7,MMP7
MMP9,MMP9,MMP9,MMP9,MMP9
MMRN1,MMRN1,MMRN1,MMRN1,MMRN1
MMRN2,MMRN2,MMRN2,MMRN2,MMRN2
MMS19,MMS19,MMS19,MMS19,MMS19
MMS22L,MMS22L,MMS22L,MMS22L,MMS22L
MN1,MN1,MN1,MN1,MN1
MNAT1,MNAT1,MNAT1,MNAT1,MNAT1
MND1,MND1,MND1,MND1,MND1
MNDA,MNDA,MNDA,MNDA,MNDA
MNT,MNT,MNT,MNT,MNT
MOAP1,MOAP1,MOAP1,MOAP1,MOAP1
MOB1A,MOB1A,MOB1A,MOB1A,MOB1A
MOB1B,MOB1B,MOB1B,MOB1B,MOB1B
MOB2,MOB2,MOB2,MOB2,MOB2
MOB3A,MOB3A,MOB3A,MOB3A,MOB3A
MOB3B,MOB3B,MOB3B,MOB3B,MOB3B
MOB3C,MOB3C,MOB3C,MOB3C,MOB3C
MOBP,MOBP,MOBP,MOBP,MOBP
MOCOS,MOCOS,MOCOS,MOCOS,MOCOS
MOCS1,MOCS1,MOCS1,MOCS1,MOCS1
MOCS2,MOCS2,MOCS2,MOCS2,MOCS2
MOCS3,MOCS3,MOCS3,MOCS3,MOCS3
MOG,MOG,MOG,MOG,MOG
MOGAT1,MOGAT1,MOGAT1,MOGAT1,MOGAT1
MOGAT2,MOGAT2,MOGAT2,MOGAT2,MOGAT2
MOGAT3,MOGAT3,MOGAT3,MOGAT3,MOGAT3
MOGS,MOGS,MOGS,MOGS,MOGS
MOK,MOK,MOK,MOK,MOK
MON1A,MON1A,MON1A,MON1A,MON1A
MON2,MON2,MON2,MON2,MON2
MORC1,MORC1,MORC1,MORC1,MORC1
MORC2,MORC2,MORC2,MORC2,MORC2
MORC3,MORC3,MORC3,MORC3,MORC3
MORC4,MORC4,MORC4,MORC4,MORC4
MORF4L1,MORF4L1,MORF4L1,MORF4L1,MORF4L1
MORF4L2,MORF4L2,MORF4L2,MORF4L2,MORF4L2
MORN1,MORN1,MORN1,MORN1,MORN1
MORN2,MORN2,MORN2,MORN2,MORN2
MORN3,MORN3,MORN3,MORN3,MORN3
MORN4,MORN4,MORN4,MORN4,MORN4
MORN5,MORN5,MORN5,MORN5,MORN5
MOSPD1,MOSPD1,MOSPD1,MOSPD1,MOSPD1
MOSPD2,MOSPD2,MOSPD2,MOSPD2,MOSPD2
MOSPD3,MOSPD3,MOSPD3,MOSPD3,MOSPD3
MOV10,MOV10,MOV10,MOV10,MOV10
MOV10L1,MOV10L1,MOV10L1,MOV10L1,MOV10L1
MOXD1,MOXD1,MOXD1,MOXD1,MOXD1
MPC1,MPC1,MPC1,MPC1,MPC1
MPC2,MPC2,MPC2,MPC2,MPC2
MPDU1,MPDU1,MPDU1,MPDU1,MPDU1
MPDZ,MPDZ,MPDZ,MPDZ,MPDZ
MPEG1,MPEG1,MPEG1,MPEG1,MPEG1
MPHOSPH10,MPHOSPH10,MPHOSPH10,MPHOSPH10,MPHOSPH10
MPHOSPH8,MPHOSPH8,MPHOSPH8,MPHOSPH8,MPHOSPH8
MPHOSPH9,MPHOSPH9,MPHOSPH9,MPHOSPH9,MPHOSPH9
MPI,MPI,MPI,MPI,MPI
MPLKIP,MPLKIP,MPLKIP,MPLKIP,MPLKIP
MPND,MPND,MPND,MPND,MPND
MPO,MPO,MPO,MPO,MPO
MPP1,MPP1,MPP1,MPP1,MPP1
MPP2,MPP2,MPP2,MPP2,MPP2
MPP3,MPP3,MPP3,MPP3,MPP3
MPP4,MPP4,MPP4,MPP4,MPP4
MPP5,MPP5,MPP5,MPP5,MPP5
MPP6,MPP6,MPP6,MPP6,MPP6
MPP7,MPP7,MPP7,MPP7,MPP7
MPPE1,MPPE1,MPPE1,MPPE1,MPPE1
MPPED1,MPPED1,MPPED1,MPPED1,MPPED1
MPPED2,MPPED2,MPPED2,MPPED2,MPPED2
MPRIP,MPRIP,MPRIP,MPRIP,MPRIP
MPST,MPST,MPST,MPST,MPST
MPV17,MPV17,MPV17,MPV17,MPV17
MPV17L2,MPV17L2,MPV17L2,MPV17L2,MPV17L2
MPZ,MPZ,MPZ,MPZ,MPZ
MPZL1,MPZL1,MPZL1,MPZL1,MPZL1
MPZL2,MPZL2,MPZL2,MPZL2,MPZL2
MPZL3,MPZL3,MPZL3,MPZL3,MPZL3
MRAP,MRAP,MRAP,MRAP,MRAP
MRAS,MRAS,MRAS,MRAS,MRAS
MRC1,MRC1,MRC1,MRC1,MRC1
MRC2,MRC2,MRC2,MRC2,MRC2
MREG,MREG,MREG,MREG,MREG
MRFAP1,MRFAP1,MRFAP1,MRFAP1,MRFAP1
MRFAP1L1,MRFAP1L1,MRFAP1L1,MRFAP1L1,MRFAP1L1
MRGBP,MRGBP,MRGBP,MRGBP,MRGBP
MRGPRE,MRGPRE,MRGPRE,MRGPRE,MRGPRE
MRGPRF,MRGPRF,MRGPRF,MRGPRF,MRGPRF
MRI1,MRI1,MRI1,MRI1,MRI1
MRLN,MRLN,MRLN,MRLN,MRLN
MRM1,MRM1,MRM1,MRM1,MRM1
MRO,MRO,MRO,MRO,MRO
MROH1,MROH1,MROH1,MROH1,MROH1
MROH2A,MROH2A,MROH2A,MROH2A,MROH2A
MROH2B,MROH2B,MROH2B,MROH2B,MROH2B
MROH5,MROH5,MROH5,MROH5,MROH5
MROH6,MROH6,MROH6,MROH6,MROH6
MROH7,MROH7,MROH7,MROH7,MROH7
MROH8,MROH8,MROH8,MROH8,MROH8
MROH9,MROH9,MROH9,MROH9,MROH9
MRPL1,MRPL1,MRPL1,MRPL1,MRPL1
MRPL10,MRPL10,MRPL10,MRPL10,MRPL10
MRPL11,MRPL11,MRPL11,MRPL11,MRPL11
MRPL12,MRPL12,MRPL12,MRPL12,MRPL12
MRPL13,MRPL13,MRPL13,MRPL13,MRPL13
MRPL14,MRPL14,MRPL14,MRPL14,MRPL14
MRPL15,MRPL15,MRPL15,MRPL15,MRPL15
MRPL16,MRPL16,MRPL16,MRPL16,MRPL16
MRPL17,MRPL17,MRPL17,MRPL17,MRPL17
MRPL18,MRPL18,MRPL18,MRPL18,MRPL18
MRPL19,MRPL19,MRPL19,MRPL19,MRPL19
MRPL2,MRPL2,MRPL2,MRPL2,MRPL2
MRPL20,MRPL20,MRPL20,MRPL20,MRPL20
MRPL21,MRPL21,MRPL21,MRPL21,MRPL21
MRPL22,MRPL22,MRPL22,MRPL22,MRPL22
MRPL23,MRPL23,MRPL23,MRPL23,MRPL23
MRPL24,MRPL24,MRPL24,MRPL24,MRPL24
MRPL27,MRPL27,MRPL27,MRPL27,MRPL27
MRPL3,MRPL3,MRPL3,MRPL3,MRPL3
MRPL30,MRPL30,MRPL30,MRPL30,MRPL30
MRPL32,MRPL32,MRPL32,MRPL32,MRPL32
MRPL33,MRPL33,MRPL33,MRPL33,MRPL33
MRPL34,MRPL34,MRPL34,MRPL34,MRPL34
MRPL35,MRPL35,MRPL35,MRPL35,MRPL35
MRPL36,MRPL36,MRPL36,MRPL36,MRPL36
MRPL37,MRPL37,MRPL37,MRPL37,MRPL37
MRPL38,MRPL38,MRPL38,MRPL38,MRPL38
MRPL39,MRPL39,MRPL39,MRPL39,MRPL39
MRPL4,MRPL4,MRPL4,MRPL4,MRPL4
MRPL40,MRPL40,MRPL40,MRPL40,MRPL40
MRPL42,MRPL42,MRPL42,MRPL42,MRPL42
MRPL43,MRPL43,MRPL43,MRPL43,MRPL43
MRPL44,MRPL44,MRPL44,MRPL44,MRPL44
MRPL45,MRPL45,MRPL45,MRPL45,MRPL45
MRPL46,MRPL46,MRPL46,MRPL46,MRPL46
MRPL47,MRPL47,MRPL47,MRPL47,MRPL47
MRPL48,MRPL48,MRPL48,MRPL48,MRPL48
MRPL49,MRPL49,MRPL49,MRPL49,MRPL49
MRPL50,MRPL50,MRPL50,MRPL50,MRPL50
MRPL51,MRPL51,MRPL51,MRPL51,MRPL51
MRPL52,MRPL52,MRPL52,MRPL52,MRPL52
MRPL53,MRPL53,MRPL53,MRPL53,MRPL53
MRPL54,MRPL54,MRPL54,MRPL54,MRPL54
MRPL55,MRPL55,MRPL55,MRPL55,MRPL55
MRPL57,MRPL57,MRPL57,MRPL57,MRPL57
MRPL9,MRPL9,MRPL9,MRPL9,MRPL9
MRPS11,MRPS11,MRPS11,MRPS11,MRPS11
MRPS12,MRPS12,MRPS12,MRPS12,MRPS12
MRPS14,MRPS14,MRPS14,MRPS14,MRPS14
MRPS16,MRPS16,MRPS16,MRPS16,MRPS16
MRPS18A,MRPS18A,MRPS18A,MRPS18A,MRPS18A
MRPS18B,MRPS18B,MRPS18B,MRPS18B,MRPS18B
MRPS18C,MRPS18C,MRPS18C,MRPS18C,MRPS18C
MRPS2,MRPS2,MRPS2,MRPS2,MRPS2
MRPS21,MRPS21,MRPS21,MRPS21,MRPS21
MRPS22,MRPS22,MRPS22,MRPS22,MRPS22
MRPS23,MRPS23,MRPS23,MRPS23,MRPS23
MRPS24,MRPS24,MRPS24,MRPS24,MRPS24
MRPS25,MRPS25,MRPS25,MRPS25,MRPS25
MRPS26,MRPS26,MRPS26,MRPS26,MRPS26
MRPS27,MRPS27,MRPS27,MRPS27,MRPS27
MRPS28,MRPS28,MRPS28,MRPS28,MRPS28
MRPS30,MRPS30,MRPS30,MRPS30,MRPS30
MRPS31,MRPS31,MRPS31,MRPS31,MRPS31
MRPS33,MRPS33,MRPS33,MRPS33,MRPS33
MRPS36,MRPS36,MRPS36,MRPS36,MRPS36
MRPS5,MRPS5,MRPS5,MRPS5,MRPS5
MRPS6,MRPS6,MRPS6,MRPS6,MRPS6
MRPS7,MRPS7,MRPS7,MRPS7,MRPS7
MRPS9,MRPS9,MRPS9,MRPS9,MRPS9
MRRF,MRRF,MRRF,MRRF,MRRF
MRS2,MRS2,MRS2,MRS2,MRS2
MRTO4,MRTO4,MRTO4,MRTO4,MRTO4
MRVI1,MRVI1,MRVI1,MRVI1,MRVI1
MS4A1,MS4A1,MS4A1,MS4A1,MS4A1
MS4A10,MS4A10,MS4A10,MS4A10,MS4A10
MS4A14,MS4A14,MS4A14,MS4A14,MS4A14
MS4A15,MS4A15,MS4A15,MS4A15,MS4A15
MS4A2,MS4A2,MS4A2,MS4A2,MS4A2
MS4A4A,MS4A4A,MS4A4A,MS4A4A,MS4A4A
MS4A7,MS4A7,MS4A7,MS4A7,MS4A7
MSANTD1,MSANTD1,MSANTD1,MSANTD1,MSANTD1
MSANTD2,MSANTD2,MSANTD2,MSANTD2,MSANTD2
MSANTD4,MSANTD4,MSANTD4,MSANTD4,MSANTD4
MSC,MSC,MSC,MSC,MSC
MSH2,MSH2,MSH2,MSH2,MSH2
MSH3,MSH3,MSH3,MSH3,MSH3
MSH4,MSH4,MSH4,MSH4,MSH4
MSH5,MSH5,MSH5,MSH5,MSH5
MSH6,MSH6,MSH6,MSH6,MSH6
MSI1,MSI1,MSI1,MSI1,MSI1
MSI2,MSI2,MSI2,MSI2,MSI2
MSL1,MSL1,MSL1,MSL1,MSL1
MSL2,MSL2,MSL2,MSL2,MSL2
MSL3,MSL3,MSL3,MSL3,MSL3
MSMO1,MSMO1,MSMO1,MSMO1,MSMO1
MSMP,MSMP,MSMP,MSMP,MSMP
MSN,MSN,MSN,MSN,MSN
MSR1,MSR1,MSR1,MSR1,MSR1
MSRA,MSRA,MSRA,MSRA,MSRA
MSRB2,MSRB2,MSRB2,MSRB2,MSRB2
MSRB3,MSRB3,MSRB3,MSRB3,MSRB3
MSS51,MSS51,MSS51,MSS51,MSS51
MST1,MST1,MST1,MST1,MST1
MST1R,MST1R,MST1R,MST1R,MST1R
MSTN,MSTN,MSTN,MSTN,MSTN
MSX1,MSX1,MSX1,MSX1,MSX1
MSX2,MSX2,MSX2,MSX2,MSX2
MTA1,MTA1,MTA1,MTA1,MTA1
MTA2,MTA2,MTA2,MTA2,MTA2
MTA3,MTA3,MTA3,MTA3,MTA3
MTAP,MTAP,MTAP,MTAP,MTAP
MTBP,MTBP,MTBP,MTBP,MTBP
MTCH1,MTCH1,MTCH1,MTCH1,MTCH1
MTCH2,MTCH2,MTCH2,MTCH2,MTCH2
MTCL1,MTCL1,MTCL1,MTCL1,MTCL1
MTCP1,MTCP1,MTCP1,MTCP1,MTCP1
MTDH,MTDH,MTDH,MTDH,MTDH
MTERF1,MTERF1,MTERF1,MTERF1,MTERF1
MTERF2,MTERF2,MTERF2,MTERF2,MTERF2
MTERF3,MTERF3,MTERF3,MTERF3,MTERF3
MTERF4,MTERF4,MTERF4,MTERF4,MTERF4
MTF1,MTF1,MTF1,MTF1,MTF1
MTF2,MTF2,MTF2,MTF2,MTF2
MTFMT,MTFMT,MTFMT,MTFMT,MTFMT
MTFP1,MTFP1,MTFP1,MTFP1,MTFP1
MTFR1,MTFR1,MTFR1,MTFR1,MTFR1
MTFR1L,MTFR1L,MTFR1L,MTFR1L,MTFR1L
MTFR2,MTFR2,MTFR2,MTFR2,MTFR2
MTG1,MTG1,MTG1,MTG1,MTG1
MTG2,MTG2,MTG2,MTG2,MTG2
MTHFD1,MTHFD1,MTHFD1,MTHFD1,MTHFD1
MTHFD1L,MTHFD1L,MTHFD1L,MTHFD1L,MTHFD1L
MTHFD2,MTHFD2,MTHFD2,MTHFD2,MTHFD2
MTHFD2L,MTHFD2L,MTHFD2L,MTHFD2L,MTHFD2L
MTHFR,MTHFR,MTHFR,MTHFR,MTHFR
MTHFS,MTHFS,MTHFS,MTHFS,MTHFS
MTIF2,MTIF2,MTIF2,MTIF2,MTIF2
MTIF3,MTIF3,MTIF3,MTIF3,MTIF3
MTM1,MTM1,MTM1,MTM1,MTM1
MTMR1,MTMR1,MTMR1,MTMR1,MTMR1
MTMR10,MTMR10,MTMR10,MTMR10,MTMR10
MTMR11,MTMR11,MTMR11,MTMR11,MTMR11
MTMR12,MTMR12,MTMR12,MTMR12,MTMR12
MTMR14,MTMR14,MTMR14,MTMR14,MTMR14
MTMR2,MTMR2,MTMR2,MTMR2,MTMR2
MTMR3,MTMR3,MTMR3,MTMR3,MTMR3
MTMR4,MTMR4,MTMR4,MTMR4,MTMR4
MTMR6,MTMR6,MTMR6,MTMR6,MTMR6
MTMR7,MTMR7,MTMR7,MTMR7,MTMR7
MTMR8,MTMR8,MTMR8,MTMR8,MTMR8
MTMR9,MTMR9,MTMR9,MTMR9,MTMR9
MTO1,MTO1,MTO1,MTO1,MTO1
MTOR,MTOR,MTOR,MTOR,MTOR
MTPAP,MTPAP,MTPAP,MTPAP,MTPAP
MTR,MTR,MTR,MTR,MTR
MTRF1,MTRF1,MTRF1,MTRF1,MTRF1
MTRF1L,MTRF1L,MTRF1L,MTRF1L,MTRF1L
MTRR,MTRR,MTRR,MTRR,MTRR
MTSS1,MTSS1,MTSS1,MTSS1,MTSS1
MTTP,MTTP,MTTP,MTTP,MTTP
MTURN,MTURN,MTURN,MTURN,MTURN
MTUS1,MTUS1,MTUS1,MTUS1,MTUS1
MTUS2,MTUS2,MTUS2,MTUS2,MTUS2
MTX2,MTX2,MTX2,MTX2,MTX2
MTX3,MTX3,MTX3,MTX3,MTX3
MUC1,MUC1,MUC1,MUC1,MUC1
MUC13,MUC13,MUC13,MUC13,MUC13
MUC15,MUC15,MUC15,MUC15,MUC15
MUC16,MUC16,MUC16,MUC16,MUC16
MUC19,MUC19,MUC19,MUC19,MUC19
MUC2,MUC2,MUC2,MUC2,MUC2
MUC21,MUC21,MUC21,MUC21,MUC21
MUC4,MUC4,MUC4,MUC4,MUC4
MUC5AC,MUC5AC,MUC5AC,MUC5AC,MUC5AC
MUC5B,MUC5B,MUC5B,MUC5B,MUC5B
MUC6,MUC6,MUC6,MUC6,MUC6
MUC7,MUC7,MUC7,MUC7,MUC7
MUL1,MUL1,MUL1,MUL1,MUL1
MUS81,MUS81,MUS81,MUS81,MUS81
MUSK,MUSK,MUSK,MUSK,MUSK
MUTYH,MUTYH,MUTYH,MUTYH,MUTYH
MVB12A,MVB12A,MVB12A,MVB12A,MVB12A
MVB12B,MVB12B,MVB12B,MVB12B,MVB12B
MVK,MVK,MVK,MVK,MVK
MX1,MX1,MX1,MX1,MX1
MX2,MX2,MX2,MX2,MX2
MXD1,MXD1,MXD1,MXD1,MXD1
MXD3,MXD3,MXD3,MXD3,MXD3
MXD4,MXD4,MXD4,MXD4,MXD4
MXI1,MXI1,MXI1,MXI1,MXI1
MXRA5,MXRA5,MXRA5,MXRA5,MXRA5
MXRA7,MXRA7,MXRA7,MXRA7,MXRA7
MXRA8,MXRA8,MXRA8,MXRA8,MXRA8
MYADM,MYADM,MYADM,MYADM,MYADM
MYADML2,MYADML2,MYADML2,MYADML2,MYADML2
MYB,MYB,MYB,MYB,MYB
MYBL1,MYBL1,MYBL1,MYBL1,MYBL1
MYBL2,MYBL2,MYBL2,MYBL2,MYBL2
MYBPC1,MYBPC1,MYBPC1,MYBPC1,MYBPC1
MYBPC2,MYBPC2,MYBPC2,MYBPC2,MYBPC2
MYBPC3,MYBPC3,MYBPC3,MYBPC3,MYBPC3
MYBPH,MYBPH,MYBPH,MYBPH,MYBPH
MYBPHL,MYBPHL,MYBPHL,MYBPHL,MYBPHL
MYC,MYC,MYC,MYC,MYC
MYCBP,MYCBP,MYCBP,MYCBP,MYCBP
MYCBP2,MYCBP2,MYCBP2,MYCBP2,MYCBP2
MYCBPAP,MYCBPAP,MYCBPAP,MYCBPAP,MYCBPAP
MYCL,MYCL,MYCL,MYCL,MYCL
MYCN,MYCN,MYCN,MYCN,MYCN
MYCT1,MYCT1,MYCT1,MYCT1,MYCT1
MYD88,MYD88,MYD88,MYD88,MYD88
MYDGF,MYDGF,MYDGF,MYDGF,MYDGF
MYEF2,MYEF2,MYEF2,MYEF2,MYEF2
MYEOV,MYEOV,MYEOV,MYEOV,MYEOV
MYF6,MYF6,MYF6,MYF6,MYF6
MYH1,MYH1,MYH1,MYH1,MYH1
MYH10,MYH10,MYH10,MYH10,MYH10
MYH13,MYH13,MYH13,MYH13,MYH13
MYH14,MYH14,MYH14,MYH14,MYH14
MYH15,MYH15,MYH15,MYH15,MYH15
MYH2,MYH2,MYH2,MYH2,MYH2
MYH3,MYH3,MYH3,MYH3,MYH3
MYH4,MYH4,MYH4,MYH4,MYH4
MYH6,MYH6,MYH6,MYH6,MYH6
MYH7B,MYH7B,MYH7B,MYH7B,MYH7B
MYH9,MYH9,MYH9,MYH9,MYH9
MYL1,MYL1,MYL1,MYL1,MYL1
MYL10,MYL10,MYL10,MYL10,MYL10
MYL2,MYL2,MYL2,MYL2,MYL2
MYL3,MYL3,MYL3,MYL3,MYL3
MYL4,MYL4,MYL4,MYL4,MYL4
MYL5,MYL5,MYL5,MYL5,MYL5
MYL6,MYL6,MYL6,MYL6,MYL6
MYL6B,MYL6B,MYL6B,MYL6B,MYL6B
MYL9,MYL9,MYL9,MYL9,MYL9
MYLIP,MYLIP,MYLIP,MYLIP,MYLIP
MYLK,MYLK,MYLK,MYLK,MYLK
MYLK2,MYLK2,MYLK2,MYLK2,MYLK2
MYLK4,MYLK4,MYLK4,MYLK4,MYLK4
MYNN,MYNN,MYNN,MYNN,MYNN
MYO10,MYO10,MYO10,MYO10,MYO10
MYO15B,MYO15B,MYO15B,MYO15B,MYO15B
MYO16,MYO16,MYO16,MYO16,MYO16
MYO18A,MYO18A,MYO18A,MYO18A,MYO18A
MYO18B,MYO18B,MYO18B,MYO18B,MYO18B
MYO19,MYO19,MYO19,MYO19,MYO19
MYO1A,MYO1A,MYO1A,MYO1A,MYO1A
MYO1B,MYO1B,MYO1B,MYO1B,MYO1B
MYO1C,MYO1C,MYO1C,MYO1C,MYO1C
MYO1D,MYO1D,MYO1D,MYO1D,MYO1D
MYO1E,MYO1E,MYO1E,MYO1E,MYO1E
MYO1F,MYO1F,MYO1F,MYO1F,MYO1F
MYO1G,MYO1G,MYO1G,MYO1G,MYO1G
MYO1H,MYO1H,MYO1H,MYO1H,MYO1H
MYO3A,MYO3A,MYO3A,MYO3A,MYO3A
MYO3B,MYO3B,MYO3B,MYO3B,MYO3B
MYO5A,MYO5A,MYO5A,MYO5A,MYO5A
MYO5B,MYO5B,MYO5B,MYO5B,MYO5B
MYO5C,MYO5C,MYO5C,MYO5C,MYO5C
MYO6,MYO6,MYO6,MYO6,MYO6
MYO7A,MYO7A,MYO7A,MYO7A,MYO7A
MYO7B,MYO7B,MYO7B,MYO7B,MYO7B
MYO9A,MYO9A,MYO9A,MYO9A,MYO9A
MYO9B,MYO9B,MYO9B,MYO9B,MYO9B
MYOC,MYOC,MYOC,MYOC,MYOC
MYOCD,MYOCD,MYOCD,MYOCD,MYOCD
MYOF,MYOF,MYOF,MYOF,MYOF
MYOG,MYOG,MYOG,MYOG,MYOG
MYOM1,MYOM1,MYOM1,MYOM1,MYOM1
MYOM2,MYOM2,MYOM2,MYOM2,MYOM2
MYOM3,MYOM3,MYOM3,MYOM3,MYOM3
MYOT,MYOT,MYOT,MYOT,MYOT
MYOZ1,MYOZ1,MYOZ1,MYOZ1,MYOZ1
MYOZ2,MYOZ2,MYOZ2,MYOZ2,MYOZ2
MYOZ3,MYOZ3,MYOZ3,MYOZ3,MYOZ3
MYPN,MYPN,MYPN,MYPN,MYPN
MYPOP,MYPOP,MYPOP,MYPOP,MYPOP
MYRF,MYRF,MYRF,MYRF,MYRF
MYRFL,MYRFL,MYRFL,MYRFL,MYRFL
MYRIP,MYRIP,MYRIP,MYRIP,MYRIP
MYSM1,MYSM1,MYSM1,MYSM1,MYSM1
MYT1,MYT1,MYT1,MYT1,MYT1
MYT1L,MYT1L,MYT1L,MYT1L,MYT1L
MZF1,MZF1,MZF1,MZF1,MZF1
MZT1,MZT1,MZT1,MZT1,MZT1
N4BP2,N4BP2,N4BP2,N4BP2,N4BP2
N4BP2L1,N4BP2L1,N4BP2L1,N4BP2L1,N4BP2L1
